username;tweet;fecha;anuncio;ubicacion;id
_Elenapacheco;exacto aunque algunos medios lanacion y periodistas luisnovaresio digan que perdio y las quieran tratar de burras a cfkargentina y gracepenafort les molesta y saben lo que fueron a buscar y que les sobra astucia ahora no podran oponerse a sesionar;2020-04-25 17:14:35+00:00;Anuncio_4;Cordoba, Argentina;1254096481235226624
WurthGustavo;grande cris siempre dos pasos delante del resto por eso te amamos y el gorilaje te odia;2020-04-25 16:44:13+00:00;Anuncio_4;Cordoba, Argentina;1254088837149732866
animorales_1;que lejos de angela merkel que falta de seriedad y respeto al pueblo;2020-04-25 16:40:39+00:00;Anuncio_4;Cordoba, Argentina;1254087938456969216
Melllimm;jajaja lo recibio sin deuuda seguro;2020-04-25 14:53:34+00:00;Anuncio_4;Cordoba, Argentina;1254060993983975425
juaninoDiMarco;vaya y trabaje van medicosempleados de supermercados y un monton de gente mas y ud no quiere ir a sesionarson los privilegiados del sistema y los mas apaticosy se hacen llamar representantes gracias pero norepresentan a lamayoria q le pone el cuerpo;2020-04-25 14:10:54+00:00;Anuncio_4;Cordoba, Argentina;1254050255416504320
SangreVascaHLVS;mas y mejores medidas de nuestro gobierno cfkargentina y alferdez saben que la patria es el otro felicitaciones a todos y todas lxs millones de beneficiarixs si no hay amor que no haya nada patriamilitante;2020-04-25 23:28:53+00:00;Anuncio_4;Rosario, Argentina;1254190676071325696
GamesRedDeer;they say its one of the hardest logic game ever 100 levels global ranking try now nintendo xbox steam;2020-08-01 16:42:33+00:00;Anuncio_4;Rosario, Argentina;1289602427704897537
SangreVascaHLVS;los amo cfkargentina y alferdez gracias por cuidarnos quedateencasa cuidarteescuidarnos;2020-04-25 23:16:24+00:00;Anuncio_4;Rosario, Argentina;1254187534948667392
CGTNOB;critiquenla las veces que quieran con un libro les gano alta metafora nada eso cfkargentina;2020-04-25 22:44:39+00:00;Anuncio_4;Rosario, Argentina;1254179542559854598
crischugo;increible sin verguenza;2020-04-25 22:03:35+00:00;Anuncio_4;Rosario, Argentina;1254169210072203264
crischugo;que la corte no fallo opino;2020-04-25 22:02:36+00:00;Anuncio_4;Rosario, Argentina;1254168962365116417
SangreVascaHLVS;estudio y camino las calles no hablo encastrada en un sillon de mi casa como usted;2020-04-25 20:41:44+00:00;Anuncio_4;Rosario, Argentina;1254148613141381124
SangreVascaHLVS;por lo menos no estoy subida a un cabello como dijo antes era aun mas bajo jajajaja me alegro la tarde don saludos;2020-04-25 20:40:51+00:00;Anuncio_4;Rosario, Argentina;1254148389769543684
SangreVascaHLVS;se canso de insultar abuelo agresivo insultante y misogino es decir un pobre y triste machirulo me voy a seguir estudiando para no parecerme nunca a usted saludos;2020-04-25 20:39:38+00:00;Anuncio_4;Rosario, Argentina;1254148082750623744
SangreVascaHLVS;no sabes hablar en inclusivo no tenes conocimientos ni conciencia social solo sos un seguidor de tn y clarin misogino violento de discurso oscuro y agresivo no me relaciono con personas asi y yo no me subo a ningun pedestal pero para hablar con alguien como usted me sobra;2020-04-25 20:37:27+00:00;Anuncio_4;Rosario, Argentina;1254147533246476289
Mariano45565245;acordate que negri va a dar otra ves la nota y nos van a cagar otra ves;2020-04-25 21:15:47+00:00;Anuncio_4;Mendoza, Argentina;1254157178086346752
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_4;Mendoza, Argentina;1243993087531266049
gl_maxi;se sorprenden porque el gobierno negocio con los de la carcel chicos son peores los del gobierno que estan afuera cfkargentina kicillofok marianorecalde sergiomassa estos son delincuentes tambien solo que ricos y libres;2020-04-25 19:04:04+00:00;Anuncio_4;Mendoza, Argentina;1254124033576140802
tierradelvino;cuarentena sin trabajo inflacion on fronteras cerradas mercosur exit prohibidos para salir del pais lo lograste ladrona hdp cfkargentina y ud sr alferdez le movieron los hilos como lo que es pd vayanse bien a la mierda;2020-04-25 17:09:54+00:00;Anuncio_4;Mendoza, Argentina;1254095300936863746
gl_maxi;yo me siento estafado por la jefa de la banda cfkargentina donde hago el reclamo;2020-04-25 16:57:33+00:00;Anuncio_4;Mendoza, Argentina;1254092193628852226
